06:30,0,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara
15:00,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai
06:30,0,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam
06:45,0,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam
07:30,0,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam,Tadarus / Doa Pagi / Senam
08:15,1,N2,G4,C4,K2,G2,G5,C3,A1,PK3,F2,H2,K1,O2,B2,S2,G3,T2,G7,I1,F4,J2,C2,S3,J1,B4,Q1,A2,H1,F3,I2
09:00,2,N2,G4,C4,K2,G2,G5,C3,A1,PK3,F2,H2,K1,O2,B2,S2,G3,T2,G7,I1,F4,J2,C2,S3,J1,B4,K3,A2,H1,F3,I2
09:40,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat
10:00,3,G2,C4,D2,K2,A1,C3,D1,G5,T3,F2,H2,G3,E4,C2,S2,I1,T2,E2,G4,F4,H1,J4,L1,H3,B4,K3,G6,G1,I2,F3
10:45,4,G2,C4,D2,J3,A1,C3,Q1,G5,T3,B2,A2,G3,E4,C2,E1,I1,H2,E2,G4,O2,H1,J4,L1,H3,D1,K3,G6,G1,I2,F3
11:30,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian,Kegiatan Kerohanian
12:30,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat
13:05,5,C4,N2,D2,J3,C3,F2,A1,PK3,G5,B2,A2,T1,E4,Q4,L1,Q3,H2,S1,G4,O2,Q1,G6,K3,H3,D1,E2,E1,I2,T3,C2
13:45,6,C4,N2,Q2,J3,C3,Q1,A1,PK3,G5,B2,G4,T1,A2,H2,L1,D2,G7,S1,O2,I1,G1,G6,K3,C2,T2,E2,E1,I2,T3,D1
14:20,7,,,,,,,,,,,G4,T1,A2,H2,L1,D2,G7,S1,O2,I1,G1,G6,K3,C2,T2,E2,E1,I2,T3,D1
15:00,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai
